TIMESTAMP,Meteo_Latitude,Meteo_Longitude,Meteo_HASL,Meteo_Rel_WindDir,Meteo_Corr_WindDir,Meteo_Corr_WindS,Meteo_WindDir_True,Meteo_Rel_WS,Meteo_BP,Meteo_RH,Meteo_AirTemp,Meteo_DP,Meteo_AD,Meteo_WBT,SBE37_SBE37Sn,SBE37_SBE37Temp,SBE37_SBE37Cond,SBE37_SBE37Pres,SBE37_SBE37OXY,SBE37_SBE37Sal,Doppler_DoppVolts,Doppler_DoppSoundSpeed,Doppler_DoppHeading,Doppler_DoppPitch,Doppler_DoppRoll,Doppler_DoppPress,Doppler_DoppTemp,Doppler_DoppCell(1),Doppler_DoppCell(2),Doppler_DoppCell(3),Doppler_DoppCell(4),Doppler_DoppCell(5),Doppler_DoppCell(6),Doppler_DoppCell(7),Doppler_DoppCell(8),Doppler_DoppCell(9),Doppler_DoppCell(10),Doppler_DoppCell(11),Doppler_DoppCell(12),Doppler_DoppCell(13),Doppler_DoppCell(14),Doppler_DoppCell(15),Doppler_DoppCell(16),Doppler_DoppCell(17),Doppler_DoppCell(18),Doppler_DoppCell(19),Doppler_DoppCell(20),Doppler_DoppCell(21),Doppler_DoppCell(22),Doppler_DoppCell(23),Doppler_DoppCell(24),Doppler_DoppCell(25),Doppler_DoppCell(26),Doppler_DoppCell(27),Doppler_DoppCell(28),Doppler_DoppCell(29),Doppler_DoppCell(30),Doppler_DoppCell(31),Doppler_DoppCell(32),Doppler_DoppCell(33),Doppler_DoppCell(34),Doppler_DoppCell(35),Doppler_DoppCell(36),Doppler_DoppCell(37),Doppler_DoppCell(38),Doppler_DoppCell(39),Doppler_DoppCell(40),Sami_SamiData,Sami_SamiMessage,Sami_SamiNBlank,System_PanelTemp,System_Datalogg_Pwr,System_Batt_Volt,System_Solar_Voltage,System_Current,System_CTD_PwrOff,System_ADP_PwrOff,System_SAMI_PwrOff,System_Meteo_PwrOff
2025-01-03T16:40:00Z,41.38514,2.195688,41,86,179,0.45,181,0.45,1018.2,52,13.7,4.2,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98,12.52,12.6,4.369,0.093,0,0,0,0
2025-01-03T16:30:00Z,41.38524,2.195721,30,26,119,0.68,121,0.68,1018.2,52,13.7,4.2,1.2,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.02,12.53,12.6,7.323,0.091,0,0,0,0
2025-01-03T16:20:00Z,41.38527,2.195745,29,353,86,0.08,88,0.08,1018,52,13.9,4.3,1.2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.05,12.53,12.59,12.61,0.089,0,0,0,0
2025-01-03T16:10:00Z,41.38533,2.19568,23,224,317,0.08,319,0.08,1018,52,14,4.3,1.2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.07,12.52,12.6,12.61,0.09,0,0,0,0
2025-01-03T16:00:00Z,41.38521,2.195688,22,49,142,0.42,144,0.42,1018.1,51,14,4.2,1.2,8.7,37-26087,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13.04,12.49,12.56,12.53,0.16,0,0,0,0
2025-01-03T15:50:00Z,41.38525,2.195651,23,71,164,0.3,166,0.3,1017.8,51,14.1,4.3,1.2,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.02,12.52,12.59,12.59,0.108,0,0,0,0
2025-01-03T15:40:00Z,41.38524,2.195615,24,44,137,0.21,139,0.21,1017.9,51,14.1,4.2,1.2,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99,12.53,12.6,12.6,0.111,0,0,0,0
2025-01-03T15:30:00Z,41.38521,2.1957,29,33,125,0.19,127,0.19,1017.8,50,14.2,4.1,1.2,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,12.53,12.6,12.61,0.102,0,0,0,0
2025-01-03T15:20:00Z,41.3852,2.195634,24,54,147,0.22,149,0.22,1017.9,50,14.3,4,1.2,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.91,12.53,12.6,12.61,0.101,0,0,0,0
