"TOA5","BoiaBarcelona","CR1000X","27337","CR1000X.Std.08.01","CPU:IcatmarBoiaBarcelona.CR1X","15555","SBE37_SMPO"
"TIMESTAMP","RECORD","SBE37Sn","SBE37Temp","SBE37Cond","SBE37Pres","SBE37OXY","SBE37Sal","SBE37Date","SBE37Time"
"TS","RN","","Deg C","S/m","dbar","ml/L","PSU","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-18 19:00:00",3,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-18 20:00:00",4,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-18 21:00:00",5,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-18 22:00:00",6,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-18 23:00:00",7,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 00:00:00",8,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 01:00:00",9,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 02:00:00",10,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 03:00:00",11,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 04:00:00",12,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 05:00:00",13,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 06:00:00",14,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 07:00:00",15,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 08:00:00",16,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 14:00:00",0,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 15:00:00",1,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 16:00:00",2,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 17:00:00",3,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 18:00:00",4,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 19:00:00",5,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 20:00:00",6,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
